Age,Real Stock Balance,Real Priv Pension Balance,State Pension (Gross),bAV Payout (Gross),Priv Payout (Gross),Stock Withdrawal (Gross),Partial Salary (Gross),Total Taxes & GKV,State Tax,bAV Tax,Priv Tax,Salary Tax,Stock Tax,Vorabpauschale,GKV Cost,Rentenpunkte
30,10000.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
31,16392.156862745098,7710.3582428235295,0.0,0.0,0.0,0.0,0.0,22550.826231697498,0.0,0.0,0.0,9950.826231697498,0.0,0.0,12600.0,11.155090097027568
32,23034.98654363706,10520.808421226153,0.0,0.0,0.0,0.0,0.0,22550.826231697498,0.0,0.0,0.0,9950.826231697498,0.0,0.0,12600.0,12.310180194055135
33,29938.319349269885,13435.0468715112,0.0,0.0,0.0,0.0,0.0,22550.826231697498,0.0,0.0,0.0,9950.826231697498,0.0,0.0,12600.0,13.465270291082703
34,37112.371088456945,16456.906433507364,0.0,0.0,0.0,0.0,0.0,22550.826231697498,0.0,0.0,0.0,9950.826231697498,0.0,0.0,12600.0,14.62036038811027
35,44567.75818996506,19590.3614915636,0.0,0.0,0.0,0.0,0.0,22550.826231697494,0.0,0.0,0.0,9950.826231697498,0.0,0.0,12600.0,15.775450485137839
36,52315.51341310095,22839.53320170498,0.0,0.0,0.0,0.0,0.0,22550.826231697498,0.0,0.0,0.0,9950.826231697498,0.0,0.0,12600.0,16.930540582165406
37,60367.10217439902,26208.694911824427,0.0,0.0,0.0,0.0,0.0,22550.8262316975,0.0,0.0,0.0,9950.826231697498,0.0,0.0,12600.0,18.085630679192974
38,68714.78859237248,29702.277782038735,0.0,0.0,0.0,19.650922199043922,0.0,22570.47715389654,0.0,0.0,0.0,9950.826231697498,0.0,19.650922199043922,12600.0,19.24072077622054
39,77351.57560158198,33324.87661260132,0.0,0.0,0.0,57.91058264825853,0.0,22608.736814345753,0.0,0.0,0.0,9950.826231697498,0.0,57.91058264825853,12599.999999999998,20.39581087324811
40,86287.71486567933,37081.255887036095,0.0,0.0,0.0,97.25585753332231,0.0,22648.08208923082,0.0,0.0,0.0,9950.826231697498,0.0,97.25585753332231,12599.999999999998,21.550900970275677
41,95533.81681187612,40976.35603844088,0.0,0.0,0.0,137.7300093200306,0.0,22688.556241017526,0.0,0.0,0.0,9950.826231697498,0.0,137.7300093200306,12600.0,22.705991067303245
42,105100.86327876705,45015.299947201645,0.0,0.0,0.0,179.37772181013702,0.0,22730.203953507633,0.0,0.0,0.0,9950.826231697498,0.0,179.37772181013702,12600.0,23.861081164330812
43,115000.22060821277,49203.399678663605,0.0,0.0,0.0,222.24515207451677,0.0,22773.071383772014,0.0,0.0,0.0,9950.826231697498,0.0,222.24515207451677,12599.999999999998,25.01617126135838
44,125243.6531969099,53546.16346962037,0.0,0.0,0.0,266.37998417398063,0.0,22817.20621587148,0.0,0.0,0.0,9950.826231697498,0.0,266.37998417398063,12600.0,26.171261358385948
45,135843.3375238221,58049.30297281027,0.0,0.0,0.0,311.8314847313521,0.0,22862.65771642885,0.0,0.0,0.0,9950.826231697498,0.0,311.8314847313521,12599.999999999998,27.326351455413516
46,146811.87667021801,62718.74076894731,0.0,0.0,0.0,358.65056042063395,0.0,22909.47679211813,0.0,0.0,0.0,9950.826231697498,0.0,358.65056042063395,12600.0,28.481441552441083
47,158162.31534964792,67560.61815616763,0.0,0.0,0.0,406.88981744139625,0.0,22957.716049138897,0.0,0.0,0.0,9950.826231697498,0.0,406.88981744139625,12600.0,29.63653164946865
48,169908.15546580093,72581.3032271348,0.0,0.0,0.0,456.60362304889907,0.0,23007.429854746395,0.0,0.0,0.0,9950.826231697498,0.0,456.60362304889907,12599.999999999998,30.79162174649622
49,182063.37221681548,77787.39924442866,0.0,0.0,0.0,507.8481692129247,0.0,23058.674400910422,0.0,0.0,0.0,9950.826231697498,0.0,507.8481692129247,12600.0,31.946711843523786
50,194642.43076526857,83185.75332523174,0.0,0.0,0.0,560.6815384808498,0.0,23111.50777017835,0.0,0.0,0.0,9950.826231697498,0.0,560.6815384808498,12599.999999999998,33.101801940551354
51,207660.30349374423,86257.75426273647,0.0,0.0,0.0,615.1637721231318,0.0,23165.99000382063,0.0,0.0,0.0,9950.826231697498,0.0,615.1637721231318,12599.999999999998,34.25689203757892
52,221132.48786658232,89443.20238780389,0.0,0.0,0.0,671.3569406421117,0.0,23222.18317233961,0.0,0.0,0.0,9950.826231697498,0.0,671.3569406421117,12599.999999999998,35.41198213460649
53,235075.0249191321,92746.28723833701,0.0,0.0,0.0,729.3252167278775,0.0,23280.15144842537,0.0,0.0,0.0,9950.826231697498,0.0,729.3252167278775,12599.999999999998,36.56707223163406
54,249504.51839658557,96171.35306940928,0.0,0.0,0.0,789.1349507478578,0.0,23339.961182445357,0.0,0.0,0.0,9950.826231697498,0.0,789.1349507478578,12600.0,37.722162328661625
55,264438.15456523886,99722.90456687838,0.0,0.0,0.0,850.8547488598518,0.0,23401.680980557347,0.0,0.0,0.0,9950.826231697498,0.0,850.8547488598518,12599.999999999998,38.87725242568919
56,226584.5077269389,101454.56347441622,0.0,0.0,0.0,43038.70869252038,0.0,7038.708689222703,0.0,0.0,0.0,0.0,3550.67313538136,914.5555538413414,2573.48,38.87725242568919
57,188369.3534852652,103216.29212957193,0.0,0.0,0.0,42657.987726515596,0.0,6657.987718053187,0.0,0.0,0.0,0.0,3320.3397241500666,764.1679939031195,2573.48,38.87725242568919
58,149850.43816470398,105008.61268466894,0.0,0.0,0.0,42212.43205556639,0.0,6212.432023429679,0.0,0.0,0.0,0.0,3026.697921291281,612.2541021383979,2573.48,38.87725242568919
59,111081.38390263032,106832.05635905216,0.0,0.0,0.0,41707.29814765612,0.0,5707.29814140157,0.0,0.0,0.0,0.0,2674.7689416486564,459.0491997529143,2573.48,38.87725242568919
60,72143.2291207386,108687.16359653408,0.0,0.0,0.0,41116.22113292369,0.0,5116.221103057318,0.0,0.0,0.0,0.0,2237.9692399593796,304.7718630979384,2573.48,38.87725242568919
61,33157.163685941945,110574.48422557508,0.0,0.0,0.0,40400.63855481116,0.0,4400.638530496391,0.0,0.0,0.0,0.0,1677.4067252186703,149.75180527772048,2573.48,38.87725242568919
62,0.0,112494.57762224505,0.0,0.0,0.0,33807.304150372176,0.0,3422.7691771624122,0.0,0.0,0.0,0.0,849.2891771624118,0.0,2573.48,38.87725242568919
63,0.0,106911.50064325852,0.0,0.0,7536.512232756363,0.0,0.0,2573.48,0.0,0.0,0.0,0.0,0.0,0.0,2573.48,38.87725242568919
64,0.0,101398.79744102001,0.0,0.0,7369.189966349683,0.0,0.0,2573.48,0.0,0.0,0.0,0.0,0.0,0.0,2573.48,38.87725242568919
65,0.0,95954.54646036908,0.0,0.0,7205.0112750385215,0.0,0.0,2573.48,0.0,0.0,0.0,0.0,0.0,0.0,2573.48,38.87725242568919
66,0.0,90576.89590658869,0.0,0.0,7043.873031139264,0.0,0.0,2573.4799999999996,0.0,0.0,0.0,0.0,0.0,0.0,2573.4799999999996,38.87725242568919
67,0.0,85264.0685216154,0.0,0.0,6885.668542127702,0.0,0.0,2573.48,0.0,0.0,0.0,0.0,0.0,0.0,2573.48,38.87725242568919
68,0.0,80014.36763205743,19836.729277683655,0.0,6730.286361768639,0.0,0.0,3891.075880631418,1546.4459999442079,0.0,182.42638941969207,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
69,0.0,74826.1848349941,19836.729277683655,0.0,6577.608757356464,0.0,0.0,3875.2950191679183,1536.6753159809416,0.0,176.41621191945796,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
70,0.0,69698.00982411475,19836.729277683655,0.0,6427.50970283761,0.0,0.0,3860.028842645018,1527.2230830189385,0.0,170.60226835856108,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
71,0.0,64628.44305877178,19836.729277683655,0.0,6279.852206524044,0.0,0.0,3845.026085705018,1517.8697900797279,0.0,164.95280435777215,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
72,0.0,59616.21227807606,19836.729277683655,0.0,6134.4846860457,0.0,0.0,3830.2860960639186,1508.620275781449,0.0,159.46232901495108,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
73,0.0,54660.19432225315,19836.729277683655,0.0,5991.235947851609,0.0,0.0,3815.8082323091185,1499.479658591988,0.0,154.12508244961205,0.0,0.0,0.0,2162.203491267518,38.87725242568919
74,0.0,49759.44445070817,19836.729277683655,0.0,5849.908069423178,0.0,0.0,3801.5918638994185,1490.47152963624,0.0,148.91684299566015,0.0,0.0,0.0,2162.2034912675185,38.87725242568919
